decile,theme_slug,theme_label,raw_count,decile_prevalence_pct
1,overconfident_incorrect_outputs,Confidently Incorrect Outputs,11,18.33
1,user_trust_breakdown,User Trust Breakdown,12,20.0
1,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,12,20.0
1,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,2,3.33
1,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,19,31.67
1,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,4,6.67
1,needs_manual_review,Needs Manual Review,0,0.0
1,mixed_or_multitheme,Mixed / multi-theme,0,0.0
2,overconfident_incorrect_outputs,Confidently Incorrect Outputs,12,20.34
2,user_trust_breakdown,User Trust Breakdown,17,28.81
2,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,3,5.08
2,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,6,10.17
2,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,16,27.12
2,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,5,8.47
2,needs_manual_review,Needs Manual Review,0,0.0
2,mixed_or_multitheme,Mixed / multi-theme,0,0.0
3,overconfident_incorrect_outputs,Confidently Incorrect Outputs,17,28.33
3,user_trust_breakdown,User Trust Breakdown,11,18.33
3,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,6,10.0
3,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,4,6.67
3,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,15,25.0
3,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,7,11.67
3,needs_manual_review,Needs Manual Review,0,0.0
3,mixed_or_multitheme,Mixed / multi-theme,0,0.0
4,overconfident_incorrect_outputs,Confidently Incorrect Outputs,23,38.98
4,user_trust_breakdown,User Trust Breakdown,5,8.47
4,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,3,5.08
4,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,8,13.56
4,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,18,30.51
4,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,2,3.39
4,needs_manual_review,Needs Manual Review,0,0.0
4,mixed_or_multitheme,Mixed / multi-theme,0,0.0
5,overconfident_incorrect_outputs,Confidently Incorrect Outputs,16,27.12
5,user_trust_breakdown,User Trust Breakdown,2,3.39
5,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,19,32.2
5,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,11,18.64
5,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,7,11.86
5,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,4,6.78
5,needs_manual_review,Needs Manual Review,0,0.0
5,mixed_or_multitheme,Mixed / multi-theme,0,0.0
6,overconfident_incorrect_outputs,Confidently Incorrect Outputs,15,25.0
6,user_trust_breakdown,User Trust Breakdown,8,13.33
6,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,8,13.33
6,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,13,21.67
6,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,8,13.33
6,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,8,13.33
6,needs_manual_review,Needs Manual Review,0,0.0
6,mixed_or_multitheme,Mixed / multi-theme,0,0.0
7,overconfident_incorrect_outputs,Confidently Incorrect Outputs,20,33.9
7,user_trust_breakdown,User Trust Breakdown,3,5.08
7,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,10,16.95
7,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,12,20.34
7,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,10,16.95
7,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,4,6.78
7,needs_manual_review,Needs Manual Review,0,0.0
7,mixed_or_multitheme,Mixed / multi-theme,0,0.0
8,overconfident_incorrect_outputs,Confidently Incorrect Outputs,28,46.67
8,user_trust_breakdown,User Trust Breakdown,5,8.33
8,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,4,6.67
8,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,9,15.0
8,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,12,20.0
8,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,2,3.33
8,needs_manual_review,Needs Manual Review,0,0.0
8,mixed_or_multitheme,Mixed / multi-theme,0,0.0
9,overconfident_incorrect_outputs,Confidently Incorrect Outputs,21,35.59
9,user_trust_breakdown,User Trust Breakdown,5,8.47
9,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,2,3.39
9,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,13,22.03
9,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,12,20.34
9,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,6,10.17
9,needs_manual_review,Needs Manual Review,0,0.0
9,mixed_or_multitheme,Mixed / multi-theme,0,0.0
10,overconfident_incorrect_outputs,Confidently Incorrect Outputs,22,37.29
10,user_trust_breakdown,User Trust Breakdown,4,6.78
10,over_reliance_on_ai_outputs,Over-Reliance on AI Outputs,6,10.17
10,user_evaluation_verification_behavior,User Evaluation & Verification Behavior,9,15.25
10,real_world_impact_of_ai_outputs,Real-World Impact of AI Outputs,14,23.73
10,persuasive_outputs_trust_formation,Persuasive Outputs & Trust Formation,4,6.78
10,needs_manual_review,Needs Manual Review,0,0.0
10,mixed_or_multitheme,Mixed / multi-theme,0,0.0
